tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
378,2_padrao,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10796.93,52992.0,42195.07,12.0,90.0
379,2_padrao,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
380,2_padrao,1,0.0643,0.0643,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
381,2_padrao,1,0.0643,0.0643,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
382,2_padrao,1,0.0643,0.0643,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
383,2_padrao,1,0.0643,0.0643,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
384,2_padrao,1,0.0643,0.0643,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
385,2_padrao,1,0.0643,0.0643,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
386,2_padrao,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
387,2_padrao,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
388,2_padrao,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
389,2_padrao,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
390,2_padrao,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
391,2_padrao,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
392,2_padrao,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
393,2_padrao,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
394,2_padrao,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10787.93,52992.0,42204.07,12.0,90.0
395,2_padrao,1,0.0646,0.0646,0.0,0.0,0,0.0,128,-10778.92,52992.0,42213.08,12.0,90.0
396,2_padrao,1,0.0646,0.0646,0.0,0.0,0,0.0,128,-10769.92,52992.0,42222.08,12.0,90.0
397,2_padrao,1,0.0646,0.0646,0.0,0.0,0,0.0,128,-10769.92,52992.0,42222.08,12.0,90.0
398,2_padrao,1,0.0647,0.0647,0.0,0.0,0,0.0,128,-10751.91,52992.0,42240.09,12.0,90.0
399,2_padrao,1,0.0647,0.0647,0.0,0.0,0,0.0,128,-10751.91,52992.0,42240.09,12.0,90.0
400,2_padrao,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10742.91,52992.0,42249.09,12.0,90.0
401,2_padrao,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10733.9,52992.0,42258.1,12.0,90.0
402,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10724.9,52992.0,42267.1,12.0,90.0
403,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10715.9,52992.0,42276.1,12.0,90.0
404,2_padrao,1,0.0649,0.0649,0.0,0.0,0,0.0,128,-10697.89,52992.0,42294.11,12.0,90.0
405,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-10697.89,52992.0,42294.11,12.0,90.0
406,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-10670.89,52992.0,42321.11,12.0,90.0
407,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-10661.88,52992.0,42330.12,12.0,90.0
408,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-10634.87,52992.0,42357.13,12.0,90.0
409,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-10607.86,52992.0,42384.14,12.0,90.0
410,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-10607.86,52992.0,42384.14,12.0,90.0
411,2_padrao,1,0.0651,0.0651,0.0,0.0,0,0.0,128,-10580.85,52992.0,42411.15,12.0,90.0
412,2_padrao,1,0.065,0.065,0.0,0.0,0,0.0,128,-10553.84,52992.0,42438.16,12.0,90.0
