tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
487,3b_corte_gradual,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10100.92,39398.4,29297.48,12.0,90.0
488,3b_corte_gradual,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10082.91,39398.4,29315.49,12.0,90.0
489,3b_corte_gradual,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10064.89,39398.4,29333.51,12.0,90.0
490,3b_corte_gradual,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10037.89,39398.4,29360.51,12.0,90.0
491,3b_corte_gradual,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10019.88,39398.4,29378.52,12.0,90.0
492,3b_corte_gradual,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-10010.87,39398.4,29387.53,12.0,90.0
493,3b_corte_gradual,1,0.0648,0.0648,0.0,0.0,0,0.0,128,-9983.86,39398.4,29414.54,12.0,90.0
494,3b_corte_gradual,1,0.0647,0.0647,0.0,0.0,0,0.0,128,-9956.85,39398.4,29441.55,12.0,90.0
495,3b_corte_gradual,1,0.0647,0.0647,0.0,0.0,0,0.0,128,-9947.84,39398.4,29450.56,12.0,90.0
496,3b_corte_gradual,1,0.0647,0.0647,0.0,0.0,0,0.0,128,-9947.84,39398.4,29450.56,12.0,90.0
497,3b_corte_gradual,1,0.0647,0.0647,0.0,0.0,0,0.0,128,-9938.84,39398.4,29459.56,12.0,90.0
498,3b_corte_gradual,1,0.0647,0.0647,0.0,0.0,0,0.0,128,-9929.84,39398.4,29468.56,12.0,90.0
499,3b_corte_gradual,1,0.0646,0.0646,0.0,0.0,0,0.0,128,-9902.83,39398.4,29495.57,12.0,90.0
